Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Vine Hill Capital Investment Corp. II,VHCPU,Blank Check,12/18/2025,20.0,$10.00,$0.00,$0.00,0.00%,S/O
Andersen Group,ANDG,Consumer Services,12/17/2025,11.0,$16.00,$23.50,$23.79,48.69%,S/O
Medline Inc.,MDLN,Health Care,12/17/2025,216.0,$29.00,$41.00,$43.83,51.14%,S/O
Wealthfront Corp.,WLTH,Financials,12/12/2025,34.6,$14.00,$14.19,$8.49,-39.36%,S/O
Lumexa Imaging Holdings,LMRI,Health Care,12/11/2025,25.0,$18.50,$18.52,$14.80,-20.00%,S/O
Cardinal Infrastructure,CDNL,Other,12/10/2025,11.5,$21.00,$23.50,$29.82,42.00%,S/O
JM Group Ltd.,JMG,Consumer Goods,12/10/2025,3.8,$4.00,$5.60,$5.60,40.00%,S/O
"Regentis Biomaterials, Ltd.",RGNT,Health Care,12/4/2025,1.3,$8.00,$7.50,$7.50,-6.25%,S/O
SMJ International,SMJF,Consumer Goods,12/4/2025,2.5,$4.00,$4.51,$4.51,12.75%,S/O
Park Dental Partners,PARK,Health Care,12/3/2025,1.5,$13.00,$10.25,$10.25,-21.15%,S/O
Central Bancompany (Uplisting),CBC,Financials,11/20/2025,17.8,$21.00,$22.97,$22.97,9.38%,S/O
"Gloo Holdings, Inc.",GLOO,Technology,11/19/2025,9.1,$8.00,$8.10,$8.10,1.25%,S/O
WeShop Holdings (NASDAQ Direct Listing),WSHP,Consumer Services,11/14/2025,4.0,$20.02,$30.21,$30.21,50.90%,S/O
"Caring Brands, Inc. (Uplisting)",CABR,Consumer Goods,11/13/2025,1.0,$4.00,$1.39,$1.39,56.56%,S/O
Off the Hook YS,OTH,Consumer Goods,11/13/2025,3.8,$4.00,$3.80,$3.80,-5.00%,S/O
Phaos Technology (Cayman) Holdings Ltd.,POAS,Industrials,11/13/2025,3.6,$4.00,$3.85,$3.85,0.00%,S/O
"BillionToOne, Inc.",BLLN,Health Care,11/6/2025,4.6,$60.00,$108.94,$73.51,22.51%,S/O
Evommune,EVMN,Health Care,11/6/2025,9.4,$16.00,$20.23,$26.50,65.63%,S/O
Grupo Aeromexico,AERO,Other,11/6/2025,11.7,$19.00,$20.35,$15.72,-17.26%,S/O
Elauwit Connection,ELWT,Technology,11/5/2025,1.7,$9.00,$7.20,$7.20,-20.00%,S/O
Exzeo Group,XZO,Financials,11/5/2025,8.0,$21.00,$21.01,$15.45,-26.43%,S/O
Functional Brands (Direct Listing),MEHA,Health Care,11/5/2025,0.0,$8.00,$2.75,$2.75,-65.63%,S/O
BETA Technologies,BETA,Industrials,11/4/2025,29.9,$34.00,$36.00,$19.27,-43.32%,S/O
Cantor Equity Partners V (Stock-Only SPAC),CEPV,Blank Check,11/4/2025,22.0,$10.00,$10.30,$10.30,3.00%,S/O
Westin Acquisition,WSTNU,Blank Check,11/4/2025,5.0,$10.00,$10.03,$10.03,0.03%,S/O
Boyd Group Services (Uplisting),BGSI,Consumer Services,10/31/2025,5.5,$141.00,$0.00,$0.00,0.00%,S/O
Nomadar Corp. (Direct Listing),NOMA,Consumer Services,10/31/2025,13.3,$30.00,$21.00,$21.00,-30.00%,S/O
"Navan, Inc.",NAVN,Technology,10/30/2025,36.9,$25.00,$20.00,$15.60,-37.60%,S/O
"MapLight Therapeutics, Inc.",MPLT,Health Care,10/27/2025,14.8,$17.00,$18.34,$18.51,8.88%,S/O
Agencia Comercial Spirits,AGCC,Consumer Goods,10/22/2025,1.8,$4.00,$6.05,$6.05,51.25%,S/O
Texxon Holding (New Filing),NPT,Basic Materials,10/22/2025,1.9,$5.00,$4.91,$4.91,-1.80%,S/O
Ambitions Enterprise Management,AHMA,Other,10/21/2025,1.5,$4.00,$4.65,$4.65,16.25%,S/O
Bgin Blockchain Ltd.,BGIN,Financials,10/21/2025,5.0,$6.00,$4.96,$4.96,-17.33%,S/O
Charming Medical Ltd.,MCTA,Health Care,10/21/2025,1.6,$4.00,$7.00,$7.00,75.00%,S/O
Acco Group Holdings Ltd.,ACCL,Consumer Services,10/17/2025,1.4,$4.00,$4.05,$4.05,1.25%,S/O
Aptera Motors (Direct Listing),SEV,Consumer Goods,10/16/2025,31.7,$0.00,$0.00,$0.00,0.00%,S/O
OBOOK Holdings (Direct Listing),OWLS,Financials,10/16/2025,4.7,$68.00,$55.55,$55.55,0.00%,S/O
