File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-09-24,ADARx Pharmaceuticals,ADRX,J.P.Morgan/Morgan Stanley/TD Cowen/UBS Investment Bank/LifeSci Capital,26.25,$17.00,$17.00,$446.25,Priced,S/O
2026-09-24,Bluerock Acquisition Corp. II,BRRKU,BTIG,15.0,$10.00,$10.00,$150.00,Priced,S/O
2026-09-24,City Therapeutics,CTY,Goldman Sachs/Jefferies/Stifel/Oppenheimer & Co.,0.0,,,$100.00,TBA,S/O
2026-09-24,Hacker Interstellar,SOUD,Kingswood Capital Markets,3.9,$10.50,$11.50,$42.90,TBA,S/O
2026-09-24,New Iceland Arctic Acquisition Corp.,NIAAU,Chardan,12.5,$10.00,$10.00,$125.00,Friday,S/O
2026-09-24,Southport Acquisition Corp. II,PORT.U,Cohen & Company Capital Markets,20.0,$10.00,$10.00,$200.00,TBA,S/O
2026-09-23,Frazier Life Sciences Acquisition II (Stock-Only),FLSC,Jefferies,7.5,$10.00,$10.00,$75.00,TBA,S/O
2026-09-23,Wella Co. (The),WELA,Goldman Sachs/BofA Securities/KKR/J.P. Morgan/William Blair/TD Securities/BNP Paribas/Credit Agricole/Commerzbank/Banco Intesa Sanpaolo/Mizuho Securities/Mitsubishi UFJ Financial Group/Piper Sandler/Raymond James/UniCredit Capital Markets,0.0,,,$100.00,TBA,S/O
2026-09-22,Accelevation Holdings Corp.,ACCV,Morgan Stanley/J.P. Morgan/Goldman Sachs/Barclays/B of A Securities/Houlihan Lokey/Baird/William Blair/Piper Sandler/Wolfe Nomura Alliance,30.0,$20.00,$24.00,$660.00,Wednesday,S/O
2026-09-22,Live Oak Acquisition VI,LOVIU,Santander,20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-09-22,SeeQC,SEQC,Cantor/BTIG/Needham & Co./Craig-Hallum & Co.,0.0,,,$75.00,TBA,S/O
2026-09-21,Iambic Therapeutics,IAM,J.P.Morgan/Jefferies/BofA Securities/Citigroup,0.0,,,$100.00,TBA,S/O
2026-09-21,Oura,OURA,Goldman Sachs/Morgan Stanley/J.P.Morgan/Allen & Co./Jefferies/BofA Securities/Barclays/Wells Fargo Securities/Citizens Capital Markets/KeyBanc Capital Markets/Guggenheim Securities/Canaccord Genuity/Needham & Co./Raymond James/Rothschild & Co./Truist Securities/William Blair,50.0,$40.00,$44.00,$2100.00,Wednesday,S/O
2026-09-21,SB Energy,SBE,J.P. Morgan/Morgan Stanley/Goldman Sachs/Citigroup/Mizuho/BNP Paribas/BTIG/Jefferies/Natixis/RBC Capital Markets/Truist Securities/ING/MUFG/Santander/SMBC Nikko/Daiwa Capital Markets America/ Newmark Securities/Raymond James/Rosenblatt,0.0,,,$100.00,TBA,S/O
2026-09-21,Silicon Valley Acquisition II,SVATU,Cohen & Company Capital Markets,22.0,$10.00,$10.00,$220.00,TBA,S/O
2026-09-18,Electra Therapeutics,ETRA,Jefferies/TD Cowen/Evercore ISI/Cantor,23.33,$15.00,$15.00,$349.95,Priced,S/O
2026-09-18,Nscale Ltd.,NSCL,Goldman Sachs/J.P. Morgan/Morgan Stanley/RBC Capital Markets/BofA Securities/Deutsche Bank Securities/Credit Agricole CIB/TD Securities/Mizuho Securities/KeyBanc Capital Markets/Cantor/SMBC Nikko/WR Securities/Nomura Securities,0.0,,,$100.00,TBA,S/O
2026-09-18,Rise Smart Group (Withdrawn),RSHL,American Trust Investment Services/Prime Number Capital,1.8,$4.00,$4.00,$7.20,Withdrawn,S/O
2026-09-18,"TRex Bio, Inc.",TRXB,J.P.Morgan/Cantor/Evercore ISI/Stifel/Wedbush PacGrow,0.0,,,$100.00,TBA,S/O
